ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
MON100.NS,2018-09-10,2018-11-19,70,63.25,48.8,-22.923
MOM100.NS,2020-03-16,2020-03-23,7,15.17,12.37,-18.539
PSUBNKBEES.NS,2018-08-27,2018-10-01,35,36.42,30.98,-15.022
PSUBNKBEES.NS,2021-10-25,2021-12-20,56,31.15,26.93,-13.634
JUNIORBEES.NS,2022-04-11,2022-05-16,35,463.53,401.38,-13.495
BANKBEES.NS,2022-01-31,2022-03-07,35,382.9,332.42,-13.27
CONSUMBEES.NS,2020-04-20,2020-05-26,36,54.07,47.44,-12.35
PSUBNKBEES.NS,2019-07-01,2019-07-29,28,35.35,31.44,-11.15
CPSEETF.NS,2018-09-24,2018-10-08,14,26.98,24.04,-10.986
PSUBNKBEES.NS,2018-06-18,2018-07-16,28,33.67,30.02,-10.93
MOM100.NS,2020-01-13,2020-03-09,56,18.42,16.56,-10.188
HNGSNGBEES.NS,2024-12-23,2025-01-13,21,346.33,311.75,-10.075
PSUBNKBEES.NS,2019-05-27,2019-06-10,14,37.42,33.83,-9.684
HNGSNGBEES.NS,2018-10-01,2018-10-15,14,345.5,315.5,-8.774
PSUBNKBEES.NS,2022-01-31,2022-03-28,56,32.53,29.74,-8.668
