ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
MOM100.NS,2020-01-06,2020-03-23,77,17.92,12.37,-31.04
PSUBNKBEES.NS,2018-07-30,2018-09-24,56,35.92,30.46,-15.285
HNGSNGBEES.NS,2024-09-30,2025-01-13,105,367.12,311.75,-15.167
PSUBNKBEES.NS,2022-01-17,2022-03-07,49,30.31,26.9,-11.339
CPSEETF.NS,2018-09-24,2018-10-08,14,26.98,24.04,-10.986
PSUBNKBEES.NS,2021-12-13,2021-12-20,7,30.13,26.93,-10.71
PSUBNKBEES.NS,2018-12-17,2019-02-18,63,32.85,29.51,-10.257
HNGSNGBEES.NS,2023-01-09,2023-03-20,70,302.82,272.95,-9.954
PSUBNKBEES.NS,2021-10-25,2021-11-29,35,31.15,28.14,-9.753
PSUBNKBEES.NS,2019-05-27,2019-06-10,14,37.42,33.83,-9.684
HNGSNGBEES.NS,2024-05-13,2024-07-08,56,329.17,299.08,-9.232
INFRABEES.NS,2019-05-27,2019-08-19,84,346.48,314.98,-9.182
INFRABEES.NS,2022-01-17,2022-02-14,28,551.86,502.37,-9.059
DIVOPPBEES.NS,2020-03-09,2020-05-18,70,26.72,24.4,-8.774
JUNIORBEES.NS,2018-08-06,2018-10-01,56,307.43,280.81,-8.75
