ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
GOLDBEES.NS,2026-03-02,2026-03-23,21,138.32,110.72,-20.034
MOM100.NS,2020-03-16,2020-03-23,7,15.17,12.37,-18.539
HNGSNGBEES.NS,2024-09-30,2024-10-21,21,367.12,326.5,-11.153
CPSEETF.NS,2018-09-24,2018-10-08,14,26.98,24.04,-10.986
PSUBNKBEES.NS,2021-12-13,2021-12-20,7,30.13,26.93,-10.71
CONSUMBEES.NS,2020-05-11,2020-05-18,7,52.72,47.36,-10.257
SILVERBEES.NS,2026-05-18,2026-06-08,21,253.16,227.93,-10.056
BANKBEES.NS,2019-09-23,2019-10-07,14,313.68,283.33,-9.766
JUNIORBEES.NS,2022-04-11,2022-05-09,28,463.53,418.7,-9.762
PSUBNKBEES.NS,2019-05-27,2019-06-10,14,37.42,33.83,-9.684
PSUBNKBEES.NS,2022-06-06,2022-06-20,14,28.13,25.57,-9.191
MON100.NS,2020-03-09,2020-03-16,7,60.74,55.26,-9.113
HNGSNGBEES.NS,2018-10-01,2018-10-15,14,345.5,315.5,-8.774
MAFANG.NS,2025-02-10,2025-03-03,21,143.02,130.61,-8.768
MON100.NS,2024-12-16,2025-01-13,28,207.47,189.55,-8.729
