ticker,entry_date,exit_date,holding_days,entry_price,exit_price,return_pct
PSUBNKBEES.NS,2018-08-06,2018-09-24,49,36.99,30.46,-17.736
PSUBNKBEES.NS,2020-12-14,2020-12-21,7,20.36,18.02,-11.582
PSUBNKBEES.NS,2021-12-13,2021-12-20,7,30.13,26.93,-10.71
HNGSNGBEES.NS,2024-09-30,2024-11-18,49,367.12,329.95,-10.215
MOM100.NS,2020-01-13,2020-03-09,56,18.42,16.56,-10.188
HNGSNGBEES.NS,2024-12-23,2025-01-13,21,346.33,311.75,-10.075
HNGSNGBEES.NS,2023-01-09,2023-03-20,70,302.82,272.95,-9.954
PSUBNKBEES.NS,2021-10-25,2021-11-29,35,31.15,28.14,-9.753
ITBEES.NS,2021-01-11,2021-02-01,21,27.2,25.03,-8.07
SILVERBEES.NS,2025-03-10,2025-04-07,28,94.1,87.03,-7.606
PSUBNKBEES.NS,2024-04-29,2024-05-13,14,83.67,77.54,-7.419
PSUBNKBEES.NS,2026-02-09,2026-03-16,35,102.03,95.24,-6.748
PSUBNKBEES.NS,2022-04-11,2022-04-25,14,31.96,29.9,-6.539
MOM100.NS,2021-11-22,2021-11-29,7,33.34,31.42,-5.853
HNGSNGBEES.NS,2025-11-10,2025-11-24,14,528.86,498.57,-5.822
